env,agent,seed,steps
HalfCheetah-v2,TD3,0,1000000
HalfCheetah-v2,TD3,1,1000000
HalfCheetah-v2,TD3,2,1000000
HalfCheetah-v2,TD3,3,1000000
HalfCheetah-v2,TD3,4,1000000
HalfCheetah-v2,PPO,0,1000000
HalfCheetah-v2,PPO,1,1000000
HalfCheetah-v2,PPO,2,1000000
HalfCheetah-v2,PPO,3,1000000
HalfCheetah-v2,PPO,4,1000000
HalfCheetah-v2,SAC,0,1000000
HalfCheetah-v2,SAC,1,1000000
HalfCheetah-v2,SAC,2,1000000
Ant-v2,PPO,0,1000000
Ant-v2,PPO,1,1000000
Ant-v2,PPO,2,1000000
Ant-v2,PPO,3,1000000
Ant-v2,PPO,4,1000000
Ant-v2,SAC,0,1000000
Ant-v2,SAC,1,1000000
Ant-v2,SAC,2,1000000
Ant-v2,TD3,0,1000000
Ant-v2,TD3,1,1000000
Ant-v2,TD3,2,1000000
Ant-v2,TD3,3,1000000
Ant-v2,SAC,3,1000000
Ant-v2,TD3,4,1000000
HalfCheetah-v2,SAC,3,1000000
Ant-v2,SAC,4,1000000
HalfCheetah-v2,SAC,4,1000000
